date,dh15t10y,dh15t2y,dusgg10yr,dusgg2yr,dvix,expcttg,expcttg_ttdm,gmxn02yr,gmxn02yr_ttdm,gmxn02yr_ttwd,gmxn05yr,gmxn05yr_ttdm,gmxn05yr_ttwd,gmxn10yr,gmxn10yr_ttdm,gmxn10yr_ttwd,gmxn30yr,gmxn30yr_ttdm,gmxn30yr_ttwd,iclmsurp,idx04,idx11,levelwti,melhsfx,merhs,mpsw28t,mpsw28t_ttdm,mpsw28t_ttwd,mpswc,mpswc_ttdm,mpswc_ttwd,mxibtiie,mxibtiiecmp,mxonbr,nfpaysurp,regular,svyshkav,trmsprd10_1,trmsprd10_2,unempsurp,usdmxn,usdmxn_ttdm,usdmxn_ttwd,usjobsday,p0gmxn02yr,p0gmxn05yr,p0gmxn10yr,p0gmxn30yr,p0usdmxn,p1gmxn02yr,p1gmxn05yr,p1gmxn10yr,p1gmxn30yr,p1usdmxn,p2gmxn02yr,p2gmxn05yr,p2gmxn10yr,p2gmxn30yr,p2usdmxn,p3gmxn02yr,p3gmxn05yr,p3gmxn10yr,p3gmxn30yr,p3usdmxn,p4gmxn02yr,p4gmxn05yr,p4gmxn10yr,p4gmxn30yr,p4usdmxn,p5gmxn02yr,p5gmxn05yr,p5gmxn10yr,p5gmxn30yr,p5usdmxn,p6gmxn02yr,p6gmxn05yr,p6gmxn10yr,p6gmxn30yr,p6usdmxn,p7gmxn02yr,p7gmxn05yr,p7gmxn10yr,p7gmxn30yr,p7usdmxn,p8gmxn02yr,p8gmxn05yr,p8gmxn10yr,p8gmxn30yr,p8usdmxn,p9gmxn02yr,p9gmxn05yr,p9gmxn10yr,p9gmxn30yr,p9usdmxn,p10gmxn02yr,p10gmxn05yr,p10gmxn10yr,p10gmxn30yr,p10usdmxn
25-Apr-03,-2,-5,-3.09,-5.58,.47,,,,-10.4,,,0,,,-6.7,,,,,0,0,0,26.26,,,,,,,-18,,-31,-31,,0,1,0,,,0,,-9.7917814,,,-10.4,0,-6.7,,-9.7917814,-28.5,0,-10,,-50.983709,-38.8,0,-42.9,,-125.03482,-55.2,0,-49.4,,-127.46407,-55.2,0,-49.4,,-171.29175,-64.5,0,-52.9,,-198.1702,-67,0,-57.1,,-224.13979,-54.3,0,-43.3,,-146.91933,-61.1,0,-44.8,,-208.15806,-79.1,0,-60.4,,-277.2686,-85.3,0,-66.3,,-266.91587
9-May-03,-1,-4,-.11,-1.68,-1.55,,,,-6.2,,,0,,,-5.9,,,,,0,0,0,27.72,,,,,,,-45,,-40.5,-40.5,,0,1,0,,,0,,10.352733,,,-6.2,0,-5.9,,10.352733,-9.3,0,-1.2,,56.562628,-25,0,-14.3,,-20.737676,-30.9,0,-10.1,,130.83612,-6,0,13.1,,291.65088,4.4,0,12.4,,159.51799,8.6,0,15.1,,209.87641,-5.3,0,.6,,110.27071,-22.7,0,-3.7,,81.740577,-38.3,0,-13.2,,113.58743,-57.5,0,-30.6,,103.34107
23-May-03,0,2,2.16,2.3,-.61,,,,-19.2,,,0,,,-17.4,,,,,0,0,0,29.16,,,,,,,-22,,-25,-25,,0,1,0,,,0,,-10.246352,,,-19.2,0,-17.4,,-10.246352,-21.7,0,-33.1,,-10.246352,-14.4,0,-23.2,,164.16092,-14.6,0,-25.8,,115.59029,-15.3,0,-32.5,,55.149612,-16,0,-37.2,,59.998332,-25.6,0,-38.8,,-5.6585919,-22,0,-34.9,,35.245244,-18.7,0,-30.3,,307.05451,-10.2,0,-24,,279.39748,4.7,0,-21.3,,452.59699
13-Jun-03,-5,-3,-5.09,-1.68,.25,,,,-6,,,0,,,.3,,,,,0,0,0,30.65,,,,,,,-6.5,,15,15,,0,1,0,,,0,,-117.48466,,,-6,0,.3,,-117.48466,-4.8,0,-.6,,-167.44313,-9.6,0,-3.6,,-154.57281,4.2,0,6.3,,-55.503435,9.3,0,-4.2,,-160.29091,-3.2,0,-4.2,,-153.1438,-14.7,0,-4.8,,-179.37488,-9.7,0,-7.1,,-152.19124,-13.1,0,-13.6,,-170.97345,-10.4,0,-6.6,,-188.16576,-15.3,0,-1.4,,-267.15155
27-Jun-03,3,-3,-.01,-5.59,-.24,,,,-4.9,,,0,,,5.2,,,,,0,0,0,29.27,,,,,,,0,,10,10,,0,1,0,,,0,,-78.985789,,,-4.9,0,5.2,,-78.985789,9,0,9.5,,-3.6332693,5.9,0,4.9,,-20.38249,18.5,0,14.2,,52.629693,28.1,0,17.9,,-56.84911,28.1,0,17.9,,-49.833353,16.3,0,47.4,,93.909911,32.1,0,61.4,,39.783865,33.7,0,62.7,,40.259931,52.3,0,62.7,,-23.256603,36.1,0,55.2,,-62.811566
11-Jul-03,-4,-4,-2.85,-3.17,-.72,,,,-16.2,,,0,,,-7.5,,,,,0,0,0,31.28,,,,,,,1.5,,1.5,1.5,,0,1,0,,,0,,-39.554963,,,-16.2,0,-7.5,,-39.554963,-14.1,0,-1.3,,-35.034711,-11.8,0,13.6,,19.910219,-25.7,0,13.8,,-64.886916,-34.6,0,-2.8,,-53.32065,-43.4,0,-12,,-61.80127,-35.8,0,-10.5,,-1.6290313,-35.2,0,.5,,4.5981857,-32.9,0,-5,,117.9241,-29.9,0,-4.3,,97.449186,-44.8,0,-16.4,,44.933154
25-Jul-03,2,-2,1.04,-3.19,-.85,,,,-14.9,,,0,,,-12.1,,,,,0,0,0,30.17,,,,,,,-6.5,,-9,-9,,0,1,0,,,0,,-52.516032,,,-14.9,0,-12.1,,-52.516032,-7.9,0,-8.2,,-90.744205,-4.2,0,7.5,,-18.235182,-3.7,0,7.6,,-58.527282,-5.9,0,19,,60.639213,-.7,0,24,,41.285983,5.6,0,22.8,,169.17025,19,0,24.8,,202.97971,8,0,21.4,,160.77002,-6,0,-1.4,,130.65797,-10.4,0,1.4,,113.035
8-Aug-03,-3,-2,5.26,-.73,-.67,,,,-4.4,,,0,,,2.8,,,,,0,0,0,32.18,,,,,,,-.5,,-2.5,-2.5,,0,1,0,,,0,,-17.622967,,,-4.4,0,2.8,,-17.622967,-1.5,0,10.5,,70.182931,1,0,9.8,,63.01924,1.8,0,16.7,,24.78826,-4.3,0,19.4,,38.512279,-15.1,0,14.5,,40.378038,-16.1,0,20,,111.02015,-15.7,0,17.2,,153.25935,9,0,12,,138.58366,9,0,9.1,,184.38534,9,0,-8.4,,151.69128
22-Aug-03,-5,-1,-.19,1,.71,,,,0,,,0,,,-17.5,,,,,0,0,0,31.84,,,,,,,1.5,,8,8,,0,1,0,,,0,,-32.694064,,,0,0,-17.5,,-32.694064,-33.5,0,-15.5,,7.1691838,-35.8,0,-12.6,,73.287246,-36.2,0,-18.3,,46.325046,-40.9,0,-23.3,,158.53801,-39.9,0,-23.3,,156.09423,-39.9,0,-23.3,,152.83493,-39.9,0,-29.2,,109.27571,-38.2,0,-24.1,,39.458643,-43,0,-29.3,,-18.866628,-48,0,-32.7,,9.6496274
12-Sep-03,-8,-5,-6.25,-7.43,-.57,,,,-6.7,,,0,,,1.3,,,,,0,0,0,28.27,,,,,,,-2.5,,-5.5,-5.5,,0,1,0,,,0,,-24.379384,,,-6.7,0,1.3,,-24.379384,-4.6,0,.9,,-44.436828,-4.6,0,.9,,-116.05935,-5,0,-1.4,,-86.505572,-11.5,0,-7.1,,-81.283089,-4.2,0,-11.5,,-110.82141,-10.6,0,-17.6,,-229.11131,-7.6,0,-15.1,,-136.76224,-12.3,0,-13.2,,-207.2889,-13.2,0,-7.3,,-121.1161,-30.3,0,-9,,8.1737935
